application_id,applicant_gender,applicant_age,annual_income_aud,income_consistency,occupation_class,employment_sector,residence_area,requested_amount_aud,existing_repayments_aud,expense_flag_a,expense_flag_b,dependants_count,credit_rating,prior_default_count,card_status,property_ref,property_age_years,property_category,property_area,has_co_applicant,property_value_aud,marketing_channel,branch_id,application_date,monthly_income_aud,risk_review_flag,enquiry_count_12m,sanctioned_amount_aud
LN-000028,female,32,3604.42,variable,salaried,healthcare,outer_metro,120259.73,672.73,yes,no,2.0,695.23,1,none_held,124,3604.42,cat_c,regional,1,155916.92,online,BR115,22/03/2023,302.71,1,6,0.0
LN-000030,female,28,6540.44,variable,commercial_partner,labouring,outer_metro,233386.58,,no,no,2.0,641.19,0,none_held,131,6540.44,cat_c,,1,388795.06,broker,BR108,06/02/2024,573.88,0,6,0.0
LN-000031,male,30,5756.13,variable,salaried,labouring,outer_metro,73299.22,360.65,no,yes,3.0,746.66,0,current,64,5756.13,cat_c,inner_metro,1,119020.97,online,BR177,16/12/2024,455.61,1,0,51309.45
LN-000032,male,27,1573.78,variable,salaried,retail,regional,131239.38,464.52,no,yes,4.0,763.87,0,none_held,642,1573.78,cat_b,regional,1,182574.07,online,BR075,31/10/2023,128.87,0,5,91867.57
LN-000034,male,27,3226.12,variable,commercial_partner,,outer_metro,109753.1,349.52,yes,no,1.0,680.41,1,current,733,3226.12,cat_c,regional,1,162978.33,online,BR147,20/06/2023,268.03,0,1,71339.51
LN-000035,male,20,8146.88,variable,commercial_partner,administration,inner_metro,108262.79,1374.46,yes,yes,2.0,671.08,0,none_held,249,8146.88,cat_b,inner_metro,1,172297.72,online,BR056,29/07/2024,685.92,0,0,70370.81
LN-000038,female,32,2022.9,variable,commercial_partner,labouring,regional,49081.56,214.01,no,yes,3.0,,1,dormant,473,2022.9,cat_c,inner_metro,0,70741.55,broker,BR033,26/05/2023,172.17,1,0,0.0
LN-000039,male,41,,variable,commercial_partner,retail,regional,132330.13,594.97,no,no,2.0,660.63,0,current,490,6794.22,cat_d,regional,1,145872.11,branch_walkin,BR197,08/11/2023,,1,2,86014.58
LN-000040,female,60,10108.4,variable,salaried,,outer_metro,66749.22,680.73,yes,yes,1.0,646.31,0,current,669,10108.4,cat_d,regional,0,89632.62,broker,BR117,16/08/2023,859.04,1,5,0.0
LN-000041,female,18,4274.93,variable,public_sector,technical,inner_metro,80001.37,400.36,no,yes,3.0,738.96,0,current,91,,cat_c,inner_metro,1,132340.39,branch_walkin,BR113,07/11/2023,358.55,1,11,56000.96
LN-000042,female,51,5036.51,variable,salaried,labouring,outer_metro,105335.6,779.01,yes,no,3.0,742.84,0,current,886,5036.51,cat_d,outer_metro,0,124501.56,online,BR147,18/08/2023,419.0,0,4,0.0
LN-000043,female,46,,variable,salaried,labouring,outer_metro,105623.45,,no,no,,686.62,0,none_held,263,,cat_b,outer_metro,1,-999.0,branch_walkin,BR046,04/05/2024,,0,9,73936.41
LN-000044,male,26,4240.86,variable,salaried,,inner_metro,140969.8,580.38,yes,no,3.0,714.24,0,dormant,820,4240.86,cat_b,inner_metro,1,165795.91,outbound_call,BR192,15/10/2024,382.41,1,0,98678.86
LN-000045,female,36,3798.03,variable,salaried,administration,outer_metro,130003.96,571.45,no,no,4.0,713.12,0,none_held,658,3798.03,cat_c,regional,1,217353.8,online,BR162,29/03/2023,312.01,1,2,91002.76
LN-000048,male,18,3144.75,,commercial_partner,retail,outer_metro,90801.98,,no,yes,2.0,,1,dormant,851,3144.75,cat_c,regional,1,126714.56,broker,BR017,14/10/2024,251.23,0,2,63561.38
LN-000050,male,56,2418.65,variable,commercial_partner,retail,inner_metro,175572.3,888.99,no,no,3.0,761.25,0,current,898,2418.65,cat_d,inner_metro,1,225497.01,online,BR184,16/03/2024,203.19,0,3,131679.23
LN-000051,female,22,1546.87,variable,salaried,security,outer_metro,242010.3,820.65,no,yes,3.0,,0,current,961,1546.87,cat_b,inner_metro,1,355664.64,branch_walkin,BR117,04/12/2024,135.03,1,2,0.0
LN-000052,female,61,2221.35,variable,salaried,retail,regional,41656.96,198.2,no,no,,637.68,0,current,146,,cat_b,outer_metro,1,53046.83,branch_walkin,BR170,03/01/2024,183.72,1,2,0.0
LN-000056,female,26,,variable,salaried,labouring,outer_metro,219433.75,707.17,yes,yes,3.0,794.88,1,none_held,388,,cat_c,regional,1,310662.64,online,BR168,26/11/2023,,1,2,175547.0
LN-000057,male,34,,variable,public_sector,healthcare,regional,178471.57,480.58,no,yes,2.0,765.13,0,current,773,,cat_c,inner_metro,1,272601.69,online,BR090,25/07/2024,,1,13,124930.09
LN-000058,female,60,,variable,salaried,labouring,outer_metro,234060.32,839.9,no,yes,,797.38,0,dormant,289,,cat_c,regional,1,386372.13,outbound_call,BR004,17/10/2023,,0,8,187248.26
LN-000059,female,34,3022.84,variable,salaried,retail,outer_metro,177819.61,1287.72,yes,yes,2.0,,0,current,243,3022.84,cat_d,regional,1,262444.98,broker,BR073,01/09/2023,242.57,1,2,124473.73
LN-000061,female,39,5620.3,variable,salaried,retail,inner_metro,98936.19,608.07,yes,yes,2.0,689.78,0,none_held,519,5620.3,cat_a,outer_metro,1,121505.79,broker,BR119,23/11/2023,481.91,1,6,64308.52
LN-000062,male,38,17316.85,variable,commercial_partner,management,outer_metro,875459.36,4689.37,yes,no,,856.26,0,dormant,495,17316.85,cat_a,regional,1,1531044.85,broker,BR100,08/10/2024,1451.84,0,1,612821.55
LN-000064,male,28,6545.91,variable,salaried,management,outer_metro,368902.29,1154.33,yes,yes,3.0,836.04,0,dormant,731,6545.91,cat_a,inner_metro,1,570245.74,broker,BR100,18/01/2024,550.09,1,5,276676.72
LN-000067,male,18,3302.62,variable,salaried,labouring,outer_metro,71152.21,362.72,yes,no,3.0,,0,none_held,726,3302.62,cat_c,inner_metro,1,101084.23,branch_walkin,BR027,13/09/2024,286.72,1,4,46248.93
LN-000069,female,47,2435.84,variable,salaried,security,outer_metro,176553.76,711.6,yes,yes,,715.97,0,current,305,2435.84,cat_b,outer_metro,1,256353.26,branch_walkin,BR103,31/05/2024,202.42,1,8,114759.94
LN-000070,female,18,,variable,salaried,retail,outer_metro,275504.46,780.44,no,yes,2.0,693.1,0,current,676,,cat_d,inner_metro,1,478617.46,online,BR140,18/07/2023,,1,2,179077.9
LN-000071,female,50,1633.67,variable,salaried,retail,regional,160681.43,506.01,no,yes,4.0,706.89,0,current,232,1633.67,cat_a,outer_metro,1,177168.53,online,BR129,05/08/2024,140.17,1,1,112477.01
LN-000072,female,31,2517.87,variable,salaried,labouring,outer_metro,100727.8,837.9,no,no,1.0,708.84,1,dormant,564,2517.87,cat_d,inner_metro,1,131130.4,branch_walkin,BR117,02/02/2023,206.47,0,8,70509.47
LN-000075,female,48,,variable,commercial_partner,,outer_metro,97043.81,408.89,no,yes,1.0,827.12,0,dormant,96,,cat_b,regional,1,114260.84,branch_walkin,BR148,20/07/2024,,0,4,72782.85
LN-000076,female,27,3780.64,variable,salaried,transport,outer_metro,121998.3,935.8,no,yes,1.0,621.67,0,none_held,171,3780.64,cat_a,regional,1,216689.13,branch_walkin,BR117,02/03/2024,297.47,1,1,0.0
LN-000077,male,55,,variable,commercial_partner,transport,inner_metro,131824.43,,yes,yes,4.0,667.66,0,current,890,8368.99,cat_b,outer_metro,1,178429.64,branch_walkin,BR002,26/01/2023,,0,1,85685.88
LN-000078,female,19,5010.41,variable,salaried,labouring,outer_metro,73445.87,454.94,yes,yes,3.0,688.15,1,current,597,5010.41,cat_d,inner_metro,1,132848.79,broker,BR100,04/02/2024,409.52,1,3,51412.1
LN-000079,male,41,4013.31,variable,salaried,retail,outer_metro,164720.9,832.38,no,no,2.0,668.43,0,dormant,158,4013.31,cat_d,regional,0,252496.64,branch_walkin,BR177,10/05/2023,348.66,0,2,0.0
LN-000081,male,22,1913.97,variable,salaried,retail,regional,102267.19,360.92,no,yes,1.0,668.05,0,none_held,363,1913.97,cat_b,inner_metro,1,177101.79,broker,BR051,03/10/2024,166.55,1,4,0.0
LN-000082,male,58,3773.43,variable,salaried,labouring,outer_metro,161833.35,,yes,yes,2.0,603.17,1,current,863,,cat_a,regional,1,237074.34,broker,BR093,11/05/2023,304.16,1,3,0.0
LN-000083,male,46,,variable,salaried,labouring,outer_metro,253096.76,659.63,yes,yes,2.0,772.41,0,dormant,746,,cat_d,regional,1,415603.38,branch_walkin,BR014,05/10/2024,,0,2,189822.56
LN-000084,male,35,2554.86,variable,salaried,labouring,regional,20298.41,258.76,no,yes,1.0,628.74,0,none_held,722,2554.86,cat_a,outer_metro,0,33845.97,outbound_call,BR006,03/06/2024,207.81,0,5,0.0
LN-000086,female,18,8516.69,variable,public_sector,,outer_metro,204496.35,855.74,no,yes,2.0,624.75,0,current,914,,cat_d,inner_metro,1,343841.13,online,BR180,01/05/2023,716.3,1,1,0.0
LN-000088,female,36,6403.7,variable,commercial_partner,security,outer_metro,236653.54,1274.38,yes,yes,,720.74,0,current,996,,cat_a,inner_metro,1,313363.28,branch_walkin,BR010,15/08/2024,528.43,0,0,153824.79
LN-000089,male,43,,variable,commercial_partner,,outer_metro,158077.03,883.75,no,yes,,684.28,0,none_held,243,,cat_d,regional,1,177590.2,online,BR111,28/03/2023,,1,1,102750.07
LN-000092,male,21,,variable,salaried,transport,outer_metro,295056.37,838.47,no,yes,1.0,829.62,0,none_held,618,,cat_b,inner_metro,1,364897.93,branch_walkin,BR018,22/02/2023,,0,0,236045.1
LN-000093,female,46,2819.11,variable,salaried,,outer_metro,69503.22,492.17,yes,yes,,,0,current,778,2819.11,cat_a,outer_metro,1,,broker,BR159,11/04/2023,225.53,0,4,45177.09
LN-000094,female,33,3830.02,variable,salaried,transport,outer_metro,44043.72,395.76,no,yes,2.0,606.83,0,dormant,415,3830.02,cat_d,regional,0,,branch_walkin,BR074,04/01/2024,322.55,1,2,0.0
LN-000098,female,18,,variable,salaried,,regional,126095.82,795.46,no,yes,1.0,629.18,0,unknown,495,,cat_a,regional,1,162616.89,online,BR073,30/08/2023,,1,8,0.0
LN-000101,male,36,3818.24,variable,commercial_partner,retail,outer_metro,286272.0,732.14,no,no,3.0,742.1,1,dormant,147,,cat_b,regional,0,345170.14,broker,BR146,16/09/2024,328.7,0,6,0.0
LN-000102,male,31,2660.42,variable,salaried,labouring,outer_metro,31661.74,209.02,no,yes,2.0,646.75,0,current,897,2660.42,cat_a,outer_metro,0,50253.42,branch_walkin,BR100,24/10/2023,227.57,1,3,0.0
LN-000104,female,19,4318.98,variable,salaried,,outer_metro,121137.63,,yes,yes,2.0,838.58,0,current,793,4318.98,cat_a,regional,1,174628.52,branch_walkin,BR004,01/01/2024,388.44,0,4,84796.35
LN-000106,female,19,,variable,commercial_partner,personal_services,inner_metro,491734.97,1174.71,yes,yes,,,0,unknown,100,,cat_b,outer_metro,1,626223.45,branch_walkin,BR038,16/04/2023,,1,1,319627.73
LN-000110,female,18,2840.76,,commercial_partner,personal_services,outer_metro,228004.64,,no,no,3.0,,0,current,758,2840.76,cat_a,regional,1,254725.68,branch_walkin,BR004,22/03/2024,233.98,0,6,148203.02
LN-000111,female,60,5775.95,variable,commercial_partner,labouring,outer_metro,324270.25,784.3,no,yes,2.0,844.49,0,dormant,703,5775.95,cat_a,outer_metro,1,450443.02,online,BR139,31/10/2024,484.82,0,3,0.0
LN-000113,male,39,2523.09,variable,salaried,retail,outer_metro,63267.42,294.45,no,yes,4.0,637.58,0,dormant,290,2523.09,cat_b,outer_metro,1,,online,BR031,27/08/2024,210.52,0,0,0.0
LN-000114,female,23,2654.39,variable,salaried,labouring,regional,68560.79,331.1,no,no,2.0,630.48,0,none_held,274,,cat_a,outer_metro,1,118119.58,online,BR190,13/08/2024,220.58,0,10,0.0
LN-000115,male,18,5166.79,variable,salaried,retail,outer_metro,107636.32,596.46,no,yes,3.0,763.71,0,none_held,154,,cat_a,regional,1,133217.45,online,BR113,07/11/2023,441.11,1,5,0.0
LN-000116,male,48,4521.92,variable,commercial_partner,labouring,inner_metro,153713.87,496.78,no,yes,3.0,787.14,0,none_held,794,4521.92,cat_a,regional,1,202699.9,outbound_call,BR169,20/04/2023,379.11,0,0,107599.71
LN-000117,male,62,7349.12,variable,commercial_partner,management,outer_metro,222013.24,,yes,yes,,812.22,0,dormant,381,7349.12,cat_d,outer_metro,1,305826.61,outbound_call,BR179,24/08/2024,606.91,1,2,155409.26
LN-000120,male,25,20877.42,variable,salaried,management,outer_metro,38761.38,,yes,yes,,822.12,0,none_held,260,20877.42,cat_b,outer_metro,1,66687.39,broker,BR074,24/04/2023,,1,9,29071.02
LN-000121,female,42,14384.62,variable,commercial_partner,finance,inner_metro,192182.04,1014.01,yes,yes,1.0,880.48,0,none_held,19,14384.62,cat_c,outer_metro,1,270340.4,broker,BR043,14/05/2023,1294.25,0,9,153745.63
LN-000122,male,51,,variable,salaried,labouring,outer_metro,54416.66,649.19,no,yes,2.0,699.77,0,dormant,176,3569.84,cat_c,regional,0,79919.6,branch_walkin,BR118,18/03/2024,295.11,0,14,0.0
LN-000123,female,38,3746.04,variable,salaried,administration,regional,169403.02,904.33,no,yes,3.0,635.73,1,current,916,3746.04,cat_d,outer_metro,1,196030.55,broker,BR000,23/10/2023,297.03,1,13,0.0
LN-000124,female,18,,,public_sector,labouring,outer_metro,123647.96,805.13,yes,yes,3.0,670.09,0,none_held,504,3194.66,cat_a,regional,1,,online,BR069,21/11/2024,,0,9,80371.17
LN-000125,female,19,1788.99,variable,salaried,hospitality,regional,170386.48,642.72,no,yes,2.0,,1,dormant,356,1788.99,cat_d,outer_metro,1,250658.84,online,BR106,07/06/2023,142.11,1,1,127789.86
LN-000126,male,62,3307.13,variable,commercial_partner,administration,outer_metro,133124.4,340.58,no,no,1.0,,0,unknown,990,3307.13,cat_b,outer_metro,0,224715.81,online,BR148,17/11/2024,274.17,1,2,0.0
LN-000128,male,27,2196.3,variable,salaried,retail,outer_metro,42861.82,222.12,no,yes,1.0,623.52,0,current,500,,cat_d,inner_metro,1,62300.0,broker,BR084,11/04/2023,177.51,1,1,0.0
LN-000130,male,35,2776.31,variable,salaried,retail,outer_metro,114541.16,,no,yes,3.0,781.4,0,current,719,2776.31,cat_d,regional,1,142616.49,broker,BR164,08/05/2024,,0,3,85905.87
LN-000132,male,28,8770.68,variable,salaried,finance,outer_metro,194845.04,720.25,yes,no,1.0,881.53,0,current,777,8770.68,cat_a,outer_metro,1,236700.44,outbound_call,BR117,21/08/2023,745.12,0,2,146133.78
LN-000134,male,64,4349.19,variable,public_sector,,regional,136922.06,615.06,no,no,2.0,816.57,1,current,621,4349.19,cat_c,outer_metro,1,183244.78,broker,BR066,25/05/2023,,0,10,109537.65
LN-000135,male,65,3785.86,steady,retiree,,regional,89544.63,480.3,no,yes,2.0,,0,current,437,3785.86,cat_a,regional,0,111686.91,broker,BR136,22/03/2024,327.37,0,15,71635.7
LN-000136,male,52,5755.63,variable,commercial_partner,personal_services,outer_metro,121272.62,331.89,no,no,2.0,749.42,0,unknown,902,,cat_a,outer_metro,1,201794.58,online,BR140,09/02/2023,475.13,1,1,84890.83
LN-000137,female,44,,variable,salaried,,outer_metro,189356.54,604.69,no,yes,2.0,750.04,0,unknown,78,,cat_a,inner_metro,1,338897.27,branch_walkin,BR029,03/08/2023,,0,1,151485.24
LN-000138,male,63,,variable,salaried,labouring,regional,301183.55,857.72,no,yes,4.0,708.45,0,dormant,78,,cat_a,inner_metro,1,456660.41,online,BR065,22/01/2024,,0,2,195769.31
LN-000141,male,41,3604.2,variable,salaried,transport,outer_metro,188044.54,633.79,yes,yes,2.0,778.67,1,dormant,598,,cat_b,,1,217227.96,online,BR168,14/09/2023,295.2,0,1,141033.42
LN-000143,female,53,,variable,salaried,retail,regional,86807.18,798.95,no,no,2.0,806.96,0,none_held,839,3895.06,cat_b,regional,0,128318.13,branch_walkin,BR199,05/10/2024,,1,5,0.0
LN-000144,male,18,6641.42,variable,public_sector,administration,regional,93844.15,260.76,no,no,2.0,707.71,0,current,321,6641.42,cat_b,regional,1,126348.9,branch_walkin,BR156,30/03/2023,555.5,0,4,65690.91
LN-000145,female,37,5652.45,variable,salaried,management,outer_metro,161709.81,680.64,yes,yes,,745.45,0,none_held,910,5652.45,cat_d,outer_metro,1,,online,BR198,24/02/2024,498.58,0,6,105111.37
LN-000146,male,56,3722.37,,salaried,retail,outer_metro,298843.01,928.23,no,no,,702.23,0,current,16,3722.37,cat_d,inner_metro,1,363223.53,branch_walkin,BR179,15/09/2024,310.67,0,0,209190.11
LN-000148,male,48,2091.23,variable,commercial_partner,facilities,inner_metro,201028.88,815.5,no,no,1.0,839.71,0,unknown,527,2091.23,cat_b,outer_metro,1,292657.44,referral,BR133,14/11/2023,175.97,0,5,0.0
LN-000152,female,44,3305.16,variable,salaried,technical,outer_metro,132135.05,,no,no,8.0,706.84,0,none_held,373,,cat_a,outer_metro,1,160628.81,online,BR162,23/01/2023,263.04,1,1,92494.53
LN-000154,female,18,6257.85,variable,commercial_partner,,outer_metro,129494.24,,no,no,,694.84,0,dormant,261,6257.85,cat_c,regional,1,231815.35,branch_walkin,BR007,30/08/2024,512.66,1,1,84171.26
LN-000155,male,32,3664.11,variable,salaried,finance,outer_metro,157541.71,520.16,no,no,1.0,775.36,0,none_held,594,,cat_b,outer_metro,1,284005.18,branch_walkin,BR018,11/04/2024,294.83,0,1,118156.28
LN-000156,female,52,1926.65,variable,salaried,finance,outer_metro,53276.57,267.47,no,yes,2.0,803.88,1,current,765,1926.65,cat_c,inner_metro,1,91825.63,branch_walkin,BR080,03/01/2023,159.75,0,5,39957.42
LN-000158,male,46,2655.29,variable,salaried,retail,outer_metro,52901.78,572.59,no,yes,1.0,744.76,0,current,810,2655.29,cat_d,regional,1,67534.03,branch_walkin,BR019,01/10/2023,219.35,1,3,37031.25
LN-000159,female,24,2059.55,variable,salaried,,outer_metro,41227.69,244.81,no,yes,3.0,721.66,0,current,29,2059.55,cat_d,inner_metro,0,63675.63,online,BR198,15/06/2023,170.03,1,1,0.0
LN-000160,male,18,,variable,salaried,transport,outer_metro,177954.99,1208.64,yes,no,2.0,644.56,0,none_held,879,,cat_a,inner_metro,1,206231.81,referral,BR056,24/08/2024,,0,6,0.0
LN-000161,male,18,,,commercial_partner,healthcare,outer_metro,291399.19,857.8,no,no,2.0,776.58,0,dormant,794,,cat_a,regional,1,496560.29,branch_walkin,BR029,28/03/2024,,0,11,203979.44
LN-000164,male,62,2518.77,variable,salaried,,outer_metro,205808.54,625.1,yes,no,3.0,699.65,0,none_held,257,2518.77,cat_d,inner_metro,1,295295.0,branch_walkin,BR168,11/07/2023,204.43,1,0,144065.97
LN-000166,female,21,1910.24,,salaried,administration,regional,113958.0,540.93,no,no,2.0,807.82,1,current,198,1910.24,cat_c,,1,195618.7,online,BR038,15/06/2024,150.07,0,3,85468.5
LN-000169,female,54,4875.79,variable,commercial_partner,retail,outer_metro,66836.68,570.09,no,no,5.0,695.03,0,dormant,499,4875.79,cat_d,inner_metro,1,121048.2,broker,BR126,06/09/2024,400.58,1,5,46785.68
LN-000170,female,25,2924.12,variable,salaried,retail,outer_metro,244765.21,1158.08,no,yes,,646.13,0,dormant,128,2924.12,cat_a,regional,0,316290.68,online,BR198,04/05/2024,265.83,1,6,0.0
LN-000171,male,35,2484.32,variable,salaried,transport,regional,43349.05,198.04,yes,yes,2.0,615.86,0,none_held,470,2484.32,cat_c,regional,1,69048.78,broker,BR075,28/12/2024,217.04,1,1,0.0
LN-000172,male,64,2435.83,steady,retiree,,outer_metro,107942.06,305.68,no,no,2.0,,1,unknown,980,2435.83,cat_c,inner_metro,1,191752.81,online,BR168,18/12/2023,206.6,1,8,75559.45
LN-000173,female,19,,,salaried,labouring,outer_metro,97651.84,479.62,no,no,,647.8,0,dormant,197,4514.47,cat_c,outer_metro,1,128695.04,outbound_call,BR017,06/05/2023,,1,14,0.0
LN-000175,male,62,,variable,salaried,transport,outer_metro,96702.97,715.54,yes,yes,4.0,744.63,0,dormant,468,,cat_a,outer_metro,-999,181900.41,online,BR007,10/09/2024,,0,6,62856.93
LN-000176,male,44,3210.28,variable,salaried,labouring,outer_metro,156310.29,569.11,no,yes,2.0,748.09,0,none_held,228,3210.28,cat_b,outer_metro,1,,broker,BR093,29/01/2023,273.44,1,1,109417.2
LN-000177,female,26,16250.17,variable,commercial_partner,finance,outer_metro,318887.93,1041.51,yes,yes,2.0,841.33,0,none_held,900,16250.17,cat_a,outer_metro,1,536012.37,online,BR165,12/09/2023,1406.39,0,5,239165.95
LN-000180,female,23,3913.5,variable,salaried,,outer_metro,28072.75,321.9,no,yes,2.0,867.2,1,none_held,265,,cat_c,inner_metro,1,37406.35,online,BR013,16/07/2024,,1,1,21054.56
LN-000181,male,32,2864.86,variable,salaried,administration,outer_metro,85387.75,333.65,no,yes,1.0,,0,dormant,242,2864.86,cat_d,outer_metro,1,104138.05,referral,BR079,21/10/2024,244.72,0,0,68310.2
LN-000186,male,36,3216.34,variable,salaried,retail,outer_metro,64618.51,312.0,yes,yes,2.0,665.84,0,dormant,205,3216.34,cat_c,outer_metro,1,81881.25,online,BR118,19/10/2024,261.1,1,5,42002.02
LN-000188,female,58,4197.8,variable,salaried,retail,outer_metro,135446.36,660.38,no,yes,2.0,807.68,0,dormant,133,4197.8,cat_b,outer_metro,1,220845.78,online,BR050,09/10/2023,337.04,0,2,94812.45
LN-000190,female,31,2550.68,variable,salaried,retail,outer_metro,125100.44,769.61,no,no,2.0,721.5,0,dormant,100,2550.68,cat_b,outer_metro,1,226903.4,broker,BR152,05/08/2023,224.77,1,2,81315.28
LN-000191,male,49,5426.69,,salaried,personal_services,regional,38128.95,191.01,yes,yes,5.0,713.79,0,dormant,952,5426.69,cat_d,regional,1,54986.16,broker,BR090,05/07/2023,442.99,0,1,24783.82
LN-000194,male,48,2412.0,variable,salaried,finance,regional,189817.12,602.31,no,yes,1.0,779.22,0,dormant,56,,cat_a,inner_metro,1,298294.93,broker,BR195,09/01/2024,216.38,0,6,0.0
LN-000196,male,35,5245.57,variable,commercial_partner,,inner_metro,158646.58,,no,no,2.0,764.09,0,none_held,626,,cat_b,regional,1,208091.08,referral,BR120,22/11/2024,411.71,1,1,111052.6
LN-000198,female,61,,variable,commercial_partner,retail,regional,39057.3,217.37,no,no,1.0,,0,current,646,,cat_d,outer_metro,1,,referral,BR023,05/01/2023,,1,8,0.0
LN-000199,male,45,3004.86,variable,commercial_partner,labouring,outer_metro,186479.34,519.93,yes,yes,3.0,674.0,0,dormant,125,3004.86,cat_b,outer_metro,1,221603.28,broker,BR086,14/08/2023,251.03,1,7,0.0
LN-000201,male,23,5659.03,variable,commercial_partner,,outer_metro,231536.95,663.35,no,yes,2.0,798.47,1,dormant,548,5659.03,cat_a,inner_metro,1,340790.87,broker,BR148,17/11/2023,454.93,1,3,162075.87
LN-000203,male,58,1878.09,variable,salaried,hospitality,outer_metro,33401.07,380.73,no,yes,4.0,856.58,0,dormant,842,1878.09,cat_d,regional,1,44447.92,branch_walkin,BR026,04/09/2024,140.15,0,3,30060.96
LN-000204,male,49,4051.13,variable,commercial_partner,,outer_metro,297663.63,921.6,no,yes,2.0,,0,none_held,509,4051.13,cat_b,regional,1,359746.26,branch_walkin,BR074,11/04/2024,325.58,1,7,208364.53
LN-000206,female,62,1347.17,variable,salaried,labouring,outer_metro,10460.75,89.92,no,yes,3.0,733.56,0,dormant,736,,cat_a,inner_metro,1,16600.67,branch_walkin,BR072,25/05/2024,109.37,1,4,7322.53
